Unnamed: 0,Province,City,Location,Date,Weight,Address,coordinate,latitude,longitude
0,安徽省,合肥市,中国工商银行（工行巷支行）,2020-01-21,0.8,合肥市中国工商银行（工行巷支行）,"117.266164,31.829405",31.829405,117.266164
1,安徽省,合肥市,中国工商银行（工行巷支行）,2020-01-22,0.482,合肥市中国工商银行（工行巷支行）,"117.266164,31.829405",31.829405,117.266164
2,安徽省,合肥市,中国工商银行（工行巷支行）,2020-01-23,0.108,合肥市中国工商银行（工行巷支行）,"117.266164,31.829405",31.829405,117.266164
3,安徽省,合肥市,中国工商银行（工行巷支行）,2020-01-24,0.009000000000000001,合肥市中国工商银行（工行巷支行）,"117.266164,31.829405",31.829405,117.266164
4,安徽省,合肥市,中科大一附院,2020-01-15,0.8,合肥市中科大一附院,"117.268699,31.837572",31.837572,117.268699
5,安徽省,合肥市,中科大一附院,2020-01-16,0.482,合肥市中科大一附院,"117.268699,31.837572",31.837572,117.268699
6,安徽省,合肥市,中科大一附院,2020-01-17,0.108,合肥市中科大一附院,"117.268699,31.837572",31.837572,117.268699
7,安徽省,合肥市,中科大一附院,2020-01-18,0.009000000000000001,合肥市中科大一附院,"117.268699,31.837572",31.837572,117.268699
8,安徽省,合肥市,中科大一附院,2020-01-29,0.8,合肥市中科大一附院,"117.268699,31.837572",31.837572,117.268699
9,安徽省,合肥市,中科大一附院,2020-01-30,1.2819999999999998,合肥市中科大一附院,"117.268699,31.837572",31.837572,117.268699
10,安徽省,合肥市,中科大一附院,2020-01-31,0.59,合肥市中科大一附院,"117.268699,31.837572",31.837572,117.268699
11,安徽省,合肥市,中科大一附院,2020-02-01,0.917,合肥市中科大一附院,"117.268699,31.837572",31.837572,117.268699
12,安徽省,合肥市,中科大一附院,2020-02-02,0.491,合肥市中科大一附院,"117.268699,31.837572",31.837572,117.268699
13,安徽省,合肥市,中科大一附院,2020-02-03,0.108,合肥市中科大一附院,"117.268699,31.837572",31.837572,117.268699
14,安徽省,合肥市,中科大一附院,2020-02-04,0.009000000000000001,合肥市中科大一附院,"117.268699,31.837572",31.837572,117.268699
15,安徽省,合肥市,南门客运换乘中心,2020-01-21,0.8,合肥市南门客运换乘中心,"117.269694,31.801222",31.801222,117.269694
16,安徽省,合肥市,南门客运换乘中心,2020-01-22,0.482,合肥市南门客运换乘中心,"117.269694,31.801222",31.801222,117.269694
17,安徽省,合肥市,南门客运换乘中心,2020-01-23,0.108,合肥市南门客运换乘中心,"117.269694,31.801222",31.801222,117.269694
18,安徽省,合肥市,南门客运换乘中心,2020-01-24,0.009000000000000001,合肥市南门客运换乘中心,"117.269694,31.801222",31.801222,117.269694
19,安徽省,合肥市,合肥南站,2020-01-15,0.8,合肥市合肥南站,"117.290288,31.798983",31.798983,117.290288
20,安徽省,合肥市,合肥南站,2020-01-16,1.2819999999999998,合肥市合肥南站,"117.290288,31.798983",31.798983,117.290288
21,安徽省,合肥市,合肥南站,2020-01-17,0.59,合肥市合肥南站,"117.290288,31.798983",31.798983,117.290288
22,安徽省,合肥市,合肥南站,2020-01-18,0.11699999999999999,合肥市合肥南站,"117.290288,31.798983",31.798983,117.290288
23,安徽省,合肥市,合肥南站,2020-01-19,0.809,合肥市合肥南站,"117.290288,31.798983",31.798983,117.290288
24,安徽省,合肥市,合肥南站,2020-01-20,1.2819999999999998,合肥市合肥南站,"117.290288,31.798983",31.798983,117.290288
25,安徽省,合肥市,合肥南站,2020-01-21,2.1900000000000004,合肥市合肥南站,"117.290288,31.798983",31.798983,117.290288
26,安徽省,合肥市,合肥南站,2020-01-22,1.081,合肥市合肥南站,"117.290288,31.798983",31.798983,117.290288
27,安徽省,合肥市,合肥南站,2020-01-23,0.225,合肥市合肥南站,"117.290288,31.798983",31.798983,117.290288
28,安徽省,合肥市,合肥南站,2020-01-24,0.018000000000000002,合肥市合肥南站,"117.290288,31.798983",31.798983,117.290288
29,安徽省,合肥市,合肥新桥机场,2020-01-17,0.8,合肥市合肥新桥机场,"116.970207,31.986376",31.986376,116.970207
30,安徽省,合肥市,合肥新桥机场,2020-01-18,0.482,合肥市合肥新桥机场,"116.970207,31.986376",31.986376,116.970207
31,安徽省,合肥市,合肥新桥机场,2020-01-19,0.108,合肥市合肥新桥机场,"116.970207,31.986376",31.986376,116.970207
